Month,ID,Annual_Income,Monthly_Inhand_Salary,Interest_Rate,Delay_from_due_date,Num_of_Delayed_Payment,Outstanding_Debt,Credit_Utilization_Ratio,Amount_invested_monthly,Monthly_Balance
February,202,76087.68,6155.64,9,30,8,50.22,24.19747085,155.5644189,477.9335041
March,202,76087.68,6155.64,9,11,20,50.22,39.97251079,137.1086487,486.3892742
April,202,76087.68,6155.64,9,11,20,50.22,24.91935151,436.6555754,226.8423476
May,202,76087.68,6155.64,9,11,20,50.22,23.51605846,181.9979988,451.4999241
June,202,76087.68,6155.64,9,11,18,50.22,29.26556351,133.77535,489.7225729
January,203,51824.94,4417.745,26,12,2008,2958.02,32.82321739,183.1824693,290.9325763
February,203,51824.94,4417.745,26,11,20,2958.02,37.61638696,288.5911775,155.523868
March,203,51824.94,4417.745,26,11,20,2958.02,27.10976352,180.1647813,253.9502642
April,203,51824.94,4417.745,26,11,20,2958.02,26.26054824,10000,312.2422263
May,203,51824.94,4417.745,26,9,9,2958.02,29.49744728,508.8561454,
June,203,51824.94,4417.745,26,11,9,2958.02,25.36116682,113.3166443,330.7984012
January,204,11431.775,930.6479167,16,6,9,117.57,36.90859194,94.48374513,259.0955752
February,204,11431.775,930.6479167,16,9,9,117.57,27.40912534,122.2029128,231.3764075
March,204,11431.775,930.6479167,16,9,9,117.57,29.18712949,92.2026398,261.3766805
April,204,11431.775,930.6479167,16,5,9,117.57,31.41187374,119.4583843,234.120936
May,204,11431.775,930.6479167,16,9,8,117.57,38.26346785,94.2556333,249.323687
June,204,11431.775,930.6479167,16,9,11,117.57,31.67681529,61.1698314,292.4094889
January,205,14224.655,1395.387917,13,14,2,1343.01,40.91960544,82.13893654,309.7577986
February,205,14224.655,1395.387917,13,14,0,1343.01,37.18621603,186.3400579,235.5566773
March,205,14224.655,1395.387917,13,11,3,1343.01,34.40577901,10000,312.6036975
April,205,14224.655,1395.387917,13,14,3,1343.01,25.06407174,60.70061741,341.1961177
May,205,14224.655,1395.387917,13,14,2,1343.01,24.57598045,150.4874468,271.4092883
June,205,14224.655,1395.387917,13,18,3,1343.01,30.93956511,66.43308506,355.4636501
January,206,142170.12,11584.51,8,14,3,282.56,43.85317142,183.615297,1041.07619
February,206,142170.12,11584.51,8,18,3,282.56,33.89448336,206.3628944,1008.328592
March,206,142170.12,11584.51,8,2,5,282.56,38.4250554,511.8085938,722.8828931
April,206,142170.12,11584.51,8,2,5,282.56,38.3625028,216.1021795,1008.589307
May,206,142170.12,11584.51,8,-1,0,282.56,23.98679115,772.9155703,481.7759166
June,206,142170.12,11584.51,8,4,7,282.56,36.79284855,301.9379544,922.7535325
January,207,19951.765,1592.647083,12,1,5,1463.07,36.13163174,28.0576725,362.9939777
February,207,19951.765,1592.647083,12,2,0,1463.07,28.53856056,167.5768414,253.4748088
March,207,19951.765,1592.647083,12,2,,1463.07,35.6216588,145.5041528,275.5474974
April,207,19951.765,1592.647083,12,2,,1463.07,32.13058357,136.0144559,285.0371943
May,207,19951.765,1592.647083,12,12,17,1463.07,27.43332279,190.4879144,230.5637358
June,207,19951.765,1592.647083,12,12,17,1463.07,28.12468536,100.3095814,290.7420688
January,208,94454.1,8102.175,5,12,18,1342.61,26.063001,10000,719.6850633
February,208,94454.1,8102.175,5,12,15,1342.61,41.41181046,136.0402933,761.670312
March,208,94454.1,8102.175,5,12,15,1342.61,33.26768901,263.2435966,644.4670086
April,208,94454.1,8102.175,5,8,15,1342.61,42.79757497,10000,566.5588406
May,208,94454.1,8102.175,5,12,,1342.61,36.90780588,603.642868,334.0677373
June,208,94454.1,8102.175,5,12,,1342.61,28.68073668,445.9738225,481.7367827
January,209,27063.43,8102.175,12,9,3,1205.36,34.85323049,147.8574129,282.9321925
February,209,27063.43,2455.285833,12,4,1,1205.36,27.45039519,76.71262259,344.0769828
March,209,27063.43,2455.285833,12,6,0,1205.36,22.71324459,127.7312558,323.0583496
April,209,27063.43,2455.285833,12,3,2,1205.36,27.51178711,51.16805941,359.6215459
May,209,27063.43,2455.285833,12,6,0,1205.36,31.45604385,84.92441356,375.8651918
June,209,27063.43,2455.285833,12,1,-3,1205.36,38.60876781,292.9888628,167.8007426
January,210,36980.1,3352.675,29,6,,2403.26,34.41585735,0,354.8918735
February,210,36980.1,3352.675,29,10,,2403.26,31.79097768,153.6124198,297.5678594
March,210,36980.1,3352.675,29,21,17,2403.26,39.80353575,117.2598814,303.9203977
April,210,36980.1,3352.675,29,21,17,2403.26,31.9672997,183.843608,267.3366712
May,210,36980.1,3352.675,29,21,18,2403.26,37.37412128,53.01923965,358.1610395
June,210,36980.1,3352.675,29,21,20,2403.26,27.33525275,139.6899473,291.4903319
January,211,96582.24,7886.52,13,22,17,482.88,40.76449784,223.2239756,742.9678133
February,211,96582.24,7886.52,13,21,17,482.88,39.89636597,531.8207314,444.3710575
March,211,96582.24,7886.52,13,21,,482.88,42.92788872,154.4242383,811.7675506
April,211,96582.24,7886.52,13,25,,482.88,40.48985232,129.8720558,826.3197331
May,211,96582.24,7886.52,13,18,1,482.88,30.77350287,676.2741447,309.9176442
June,211,96582.24,7886.52,13,13,4,482.88,34.62904848,10000,600.5941893
January,212,122978.43,7886.52,9,18,1,1197.33,43.7817528,127.5004039,995.9131597
February,212,122978.43,10514.2025,9,18,0,1197.33,39.80057766,361.7049671,801.7085965
March,212,122978.43,10514.2025,9,18,1,1197.33,41.74926304,125.7781046,997.635459
April,212,122978.43,10514.2025,9,18,3,1197.33,29.82497334,181.3120492,942.1015144
May,212,122978.43,10514.2025,9,18,,1197.33,36.89437312,294.8405643,848.5729993
June,212,122978.43,10514.2025,9,18,,1197.33,33.62865374,945.3157293,218.0978343
January,213,7821.24,468.77,29,6,19,2924.76,37.09246095,52.61604233,264.5330342
February,213,7821.24,468.77,29,6,17,2924.76,33.86953944,14.34630106,292.8027755
March,213,7821.24,468.77,29,6,17,2924.76,36.83861535,0,257.5079135
April,213,7821.24,468.77,29,6,16,2924.76,29.86022508,41.18558946,265.9634871
May,213,7821.24,468.77,29,6,20,2924.76,28.42147116,15.67426787,261.4748086
June,213,7821.24,468.77,29,6,17,2924.76,34.20302638,39.93770264,267.2113739
January,214,30972.54,2431.045,16,2,,2203.46,26.56320546,286.5592868,210.9114136
February,214,30972.54,2431.045,16,6,,2203.46,31.68184075,178.8220791,298.6486213
March,214,30972.54,2431.045,16,61,24,2203.46,24.18011984,221.1014443,276.369256
April,214,30972.54,2431.045,16,58,20,2203.46,31.56061012,227.054148,250.4165524
May,214,30972.54,2431.045,16,61,23,2203.46,32.66670324,41.47008709,406.0006133
June,214,30972.54,2431.045,16,61,21,2203.46,27.47844745,85.64882399,391.8218764
January,215,7709.625,2431.045,31,56,19,2518.98,33.80187889,10000,288.9230163
February,215,7709.625,2431.045,31,65,24,2518.98,26.64487356,75.96347227,252.1740912
March,215,7709.625,2431.045,31,65,,2518.98,38.0538883,73.28892204,254.8486414
April,215,7709.625,625.46875,31,61,,2518.98,39.11021173,42.14499119,265.9925723
May,215,7709.625,625.46875,31,56,16,2518.98,21.87754393,36.52624344,281.61132
June,215,7709.625,625.46875,31,60,16,2518.98,35.0967434,10000,298.5712708
January,216,34547.54,2994.961667,5,63,16,939.31,29.28591964,129.1514853,412.5799704
February,216,34547.54,2994.961667,5,61,16,939.31,38.09541823,90.33870389,441.3927518
March,216,34547.54,2994.961667,5,61,19,939.31,38.53973896,157.2165426,374.5149131
April,216,34547.54,2994.961667,5,61,14,939.31,29.29975273,99.15460652,422.5768492
May,216,34547.54,2994.961667,5,61,,939.31,27.16873401,10000,444.9806154
June,216,34547.54,2994.961667,5,61,,939.31,28.66266628,68.56765869,453.163797
January,217,173196.32,14258.02667,9,38,15,967.23,37.22879528,366.6186098,1191.373157
February,217,173196.32,14258.02667,9,38,16,967.23,34.10931686,459.575633,1108.416134
March,217,173196.32,14258.02667,9,38,15,967.23,40.80904283,283.6913533,1284.300414
April,217,173196.32,14258.02667,9,38,15,967.23,38.55600111,138.6737202,1419.318047
May,217,173196.32,14258.02667,9,38,0,967.23,32.88428997,368.0826932,1209.909074
June,217,173196.32,14258.02667,9,38,15,967.23,31.04374696,1607.303468,0.688298779
January,218,20354.85,1403.2375,30,42,,4288.63,26.88303442,169.6902262,180.4149747
February,218,20354.85,1403.2375,30,38,,4288.63,41.2693593,61.89568273,278.2095181
March,218,20354.85,1403.2375,30,29,7,4288.63,26.16781713,122.8654468,207.2397541
April,218,20354.85,1403.2375,30,31,10,4288.63,32.2548644,76.44862335,273.6565775
May,218,20354.85,1403.2375,30,29,10,4288.63,37.78075211,66.27787531,263.8273256
June,218,20354.85,1403.2375,30,29,8,4288.63,25.28365041,0,257.3644565
January,219,46113.81,3953.8175,24,29,10,2530.66,38.68011674,250.4238223,379.1819806
February,219,46113.81,3953.8175,24,29,10,2530.66,30.30262938,51.34392135,528.2618816
March,219,46113.81,3953.8175,24,29,,2530.66,23.31608816,219.6927141,379.9130888
April,219,46113.81,3953.8175,24,29,,2530.66,33.82256664,77.59307884,502.0127241
May,219,46113.81,3953.8175,24,21,11,2530.66,29.24238481,108.3783251,511.2274778
June,219,46113.81,3953.8175,24,26,9,2530.66,33.22526569,226.9690419,392.6367611
January,220,8882.47,555.2058333,19,26,11,1580.91,31.19700553,70.77410098,247.2177832
February,220,8882.47,555.2058333,19,31,11,1580.91,34.01248544,24.83127782,293.1606064
March,220,8882.47,555.2058333,19,26,11,1580.91,35.18796764,10000,271.6937589
April,220,8882.47,555.2058333,19,25,12,1580.91,38.88867991,51.53144919,266.460435
May,220,8882.47,555.2058333,19,26,,1580.91,32.40223901,12.65352944,275.3383548
June,220,8882.47,555.2058333,19,26,,1580.91,38.97562897,60.30053042,257.6913538
January,221,34128.92,2740.076667,31,5,3,2626.28,36.32902367,273.1118168,172.8289952
February,221,34128.92,2740.076667,31,5,3,2626.28,35.20005148,369.7552154,76.18559661
March,221,34128.92,2740.076667,31,5,3,2626.28,27.28774591,128.8601235,287.0806885
April,221,34128.92,2740.076667,31,5,3,2626.28,29.722301,75.57919345,330.3616186
May,221,34128.92,2740.076667,31,3,4,2626.28,30.03588814,21.33816667,374.6026454
June,221,34128.92,2740.076667,31,7,3,2626.28,30.78794985,129.961118,285.979694
January,222,29042.45,2252.204167,5,5,,1092.55,38.83326749,52.83439159,395.6293185
February,222,29042.45,2252.204167,5,5,,1092.55,25.28985736,285.4488206,213.0148896
March,222,29042.45,2252.204167,5,27,23,1092.55,29.385147,133.4239195,365.0397906
April,222,29042.45,2252.204167,5,27,23,1092.55,32.62274452,271.2895926,227.1741175
May,222,29042.45,2252.204167,5,27,23,1092.55,28.1024505,205.5976543,272.8660558
June,222,29042.45,2252.204167,5,27,23,1092.55,30.15377576,185.4565715,313.0071387
January,223,26716.09,2372.340833,6,31,24,643.89,31.04380471,305.9489183,166.1452322
February,223,26716.09,2372.340833,6,31,23,643.89,34.06736752,75.5072653,386.5868852
March,223,26716.09,2372.340833,6,29,,643.89,38.01262323,120.5765523,351.5175982
April,223,26716.09,2372.340833,6,27,,643.89,34.97426951,90.82554382,351.2686067
May,223,26716.09,2372.340833,6,18,6,643.89,25.82185515,55.20220983,386.8919406
June,223,26716.09,2372.340833,6,14,8,643.89,37.83086639,48.80847457,393.2856759
January,224,74733.44,5933.786667,19,14,9,4685.34,38.95828946,254.722734,433.1161608
February,224,74733.44,5933.786667,19,14,5,4685.34,34.23841964,118.7467631,529.0921317
March,224,74733.44,5933.786667,19,17,6,4685.34,37.24163751,329.2058043,338.6330904
April,224,74733.44,5933.786667,19,14,3,4685.34,26.095717,222.6676507,425.1712441
May,224,74733.44,5933.786667,19,14,,4685.34,39.57432108,10000,393.6706073
June,224,74733.44,5933.786667,19,12,,4685.34,30.21536385,301.521998,386.3168967
January,225,8681.77,647.4808333,23,21,8,2216.25,38.82494754,19.40893719,296.8969573
February,225,8681.77,647.4808333,23,17,8,2216.25,34.82948247,74.03237012,252.2735243
March,225,8681.77,647.4808333,23,17,8,2216.25,37.14897502,29.29636405,297.0095304
April,225,8681.77,647.4808333,23,21,0,2216.25,32.84784586,19.78674346,266.519151
May,225,8681.77,647.4808333,23,12,8,2216.25,25.11907225,29.82338857,276.4825059
June,225,8681.77,647.4808333,23,17,11,2216.25,30.13739362,58.54435129,257.7615432
January,226,10034.55,719.2125,28,18,,1669.84,30.5359304,21.1408012,269.6979018
February,226,10034.55,719.2125,28,20,,1669.84,34.17519004,10000,263.8344968
March,226,10034.55,719.2125,28,23,14,1669.84,33.9217596,33.24412162,277.5945813
April,226,10034.55,719.2125,28,23,14,1669.84,36.04425815,43.06053266,277.7781703
May,226,10034.55,719.2125,28,23,14,1669.84,28.97138651,66.8642172,243.9744858
June,226,10034.55,719.2125,28,27,11,1669.84,30.47046807,21.91732534,288.9213776
January,227,20540.49,1859.7075,8,23,0,1118.37,29.79642124,25.47029346,391.6787968
February,227,20540.49,1859.7075,8,23,14,1118.37,27.40953712,18.18591758,398.9631727
March,227,20540.49,1859.7075,8,23,,1118.37,23.63363691,39.92357152,377.2255188
April,227,20540.49,1859.7075,8,23,,1118.37,39.05399905,45.20116977,371.9479205
May,227,20540.49,1859.7075,8,29,0,1118.37,36.18479598,141.0747127,326.0743775
June,227,20540.49,1859.7075,8,29,17,1118.37,28.02889354,66.66293187,370.4861584
January,228,38175.39,3287.2825,7,26,15,315.36,31.08087477,161.4185877,368.254006
February,228,38175.39,3287.2825,7,29,15,315.36,40.1309824,231.1654509,318.5071428
March,228,38175.39,3287.2825,7,31,15,315.36,30.02466312,68.03590698,441.6366867
April,228,38175.39,3287.2825,7,29,15,315.36,33.49406918,327.2140527,212.458541
May,228,38175.39,3287.2825,7,29,,315.36,33.36505517,242.673184,296.9994097
June,228,38175.39,3287.2825,7,31,,315.36,24.12409145,122.3535865,417.3190072
January,229,116594.91,9836.2425,10,45,19,1124.02,29.57051958,170.4958135,882.0514122
February,229,116594.91,9836.2425,10,45,19,1124.02,35.21704912,410.2661461,652.2810796
March,229,116594.91,9836.2425,10,48,18,1124.02,39.66605557,216.441338,846.1058877
April,229,116594.91,9836.2425,10,42,17,1124.02,38.30246518,0,794.5719885
May,229,116594.91,9836.2425,10,50,16,1124.02,35.76066968,339.8581191,752.6891067
June,229,116594.91,9836.2425,10,45,17,1124.02,39.01238019,356.382464,706.1647617
January,230,24894.05,2371.504167,8,45,,86.43,27.85034159,32.42887831,444.7215384
February,230,24894.05,2371.504167,8,45,,86.43,36.22204782,86.23276546,440.9176512
March,230,24894.05,2371.504167,8,17,10,86.43,37.43352458,240.9318283,276.2185884
April,230,24894.05,2371.504167,8,14,9,86.43,40.24016596,10000,335.5348442
May,230,24894.05,2371.504167,8,14,10,86.43,32.76881407,111.5333125,395.6171042
June,230,24894.05,2371.504167,8,14,0,86.43,28.87088487,10000,412.4619771
January,231,39399.9,3487.325,17,14,10,2206.86,38.24463199,317.9129512,267.64825
February,231,39399.9,3487.325,17,14,8,2206.86,22.6906878,193.8628759,401.6983253
March,231,39399.9,3487.325,17,16,,2206.86,37.22612684,152.9151628,422.6460384
April,231,39399.9,3487.325,17,14,,2206.86,29.45015859,87.35828461,478.2029166
May,231,39399.9,3487.325,17,13,9,2206.86,35.20964158,195.475668,390.0855332
June,231,39399.9,3487.325,17,13,8,2206.86,33.37275171,309.4610082,266.100193
January,232,142113.96,11903.83,17,13,8,1037.68,38.43515845,247.7038276,958.5570338
February,232,142113.96,11903.83,17,13,8,1037.68,41.19090798,186.9097606,1019.351101
March,232,142113.96,11903.83,17,13,8,1037.68,35.55766755,303.7554627,912.5053987
April,232,142113.96,11903.83,17,16,8,1037.68,41.53213704,539.3393474,706.921514
May,232,142113.96,11903.83,17,9,,1037.68,38.11568318,716.3027906,519.9580708
June,232,142113.96,11903.83,17,18,,1037.68,36.41980579,442.2678835,773.9929779
January,233,65299.38,5305.615,8,8,1,1177.38,38.52846274,217.9119462,515.6402408
February,233,65299.38,5305.615,8,7,1,1177.38,37.40082686,183.9708135,519.5813736
March,233,65299.38,5305.615,8,7,1,1177.38,25.82050719,248.018809,485.533378
April,233,65299.38,5305.615,8,7,1,1177.38,31.77341041,312.735402,400.816785
May,233,65299.38,5305.615,8,7,1,1177.38,37.49657668,128.5781545,594.9740326
June,233,65299.38,5305.615,8,12,0,1177.38,28.45479047,203.973113,499.5790741
January,234,33200.52,2755.71,20,7,,1290.73,38.2187307,36.30527047,461.2014329
February,234,33200.52,2755.71,20,7,,1290.73,30.05494268,182.4360563,325.070647
March,234,33200.52,2755.71,20,49,17,1290.73,31.4573681,10000,230.3044337
April,234,33200.52,2755.71,20,49,16,1290.73,32.44904793,246.4523372,281.0543662
May,234,33200.52,2755.71,20,49,19,1290.73,33.93119499,147.2815066,360.2251968
June,234,33200.52,2755.71,20,49,16,1290.73,29.95910072,281.8062878,255.7004156
January,235,82289.36,6951.446667,22,49,16,4736.25,39.99531969,101.0511413,593.3420843
February,235,82289.36,6951.446667,22,45,0,4736.25,28.29148332,104.1361597,590.2570658
March,235,82289.36,6951.446667,22,51,,4736.25,28.9308718,88.92490897,605.4683166
April,235,82289.36,6951.446667,22,49,,4736.25,35.1865334,0,525.8781321
May,235,82289.36,6951.446667,22,7,12,4736.25,36.84779386,723.5645616,20.82866392
June,235,82289.36,6951.446667,22,7,12,4736.25,29.65159924,70.7331489,623.6600767
January,236,7792.475,573.3729167,16,7,12,2041.74,36.7816583,17.96458279,247.2729873
February,236,7792.475,573.3729167,16,7,9,2041.74,38.02983718,64.72907524,240.5084948
March,236,7792.475,573.3729167,16,3,12,2041.74,27.51535332,64.48978678,240.7477833
April,236,7792.475,573.3729167,16,7,13,2041.74,24.40539991,15.35642956,269.8811405
May,236,7792.475,573.3729167,16,2,,2041.74,37.56484685,24.71231113,280.5252589
June,236,7792.475,573.3729167,16,9,,2041.74,28.43304864,28.63523416,246.6023359
January,237,65778.22,573.3729167,11,26,8,705.44,26.37565289,94.82619753,538.7951025
February,237,65778.22,573.3729167,11,31,8,705.44,31.47539328,489.2118584,174.4094417
March,237,65778.22,5561.518333,11,26,8,705.44,24.58175362,158.470614,495.1506861
April,237,65778.22,5561.518333,11,31,8,705.44,36.41680033,479.0596935,184.5616066
May,237,65778.22,5561.518333,11,26,5,705.44,28.02009804,162.5783514,471.0429486
June,237,65778.22,5561.518333,11,26,7,705.44,38.44796608,215.0488641,418.5724359
January,238,12016,729.3333333,14,22,,583.27,32.66370838,27.76198441,304.4278052
February,238,12016,729.3333333,14,26,,583.27,35.32192991,96.34630239,245.8434872
March,238,12016,729.3333333,14,25,20,583.27,35.73954063,15.9379276,296.251862
April,238,12016,729.3333333,14,26,0,583.27,31.32842058,40.7465063,301.4432833
May,238,12016,729.3333333,14,25,20,583.27,27.31961806,13.5798016,278.609988
June,238,12016,729.3333333,14,25,20,583.27,26.02664925,47.51613576,284.6736538
January,239,19180.87,1688.405833,18,30,19,1127.57,33.15190296,142.99474,238.4816323
February,239,19180.87,1688.405833,18,27,20,1127.57,28.23786491,212.8475866,188.6287857
March,239,19180.87,1688.405833,18,25,,1127.57,25.77179741,81.82244884,309.6539235
April,239,19180.87,1688.405833,18,25,,1127.57,31.99892988,67.88343218,293.5929401
May,239,19180.87,1688.405833,18,-2,7,1127.57,37.26595427,19.65926177,341.8171106
June,239,19180.87,1688.405833,18,6,7,1127.57,23.75918179,87.13923493,314.3371374
January,240,60552.76,4950.063333,12,1,7,463.07,37.02752347,66.53602515,566.7414881
February,240,60552.76,4950.063333,12,1,7,463.07,25.22136275,322.952025,320.3254882
March,240,60552.76,4950.063333,12,1,7,463.07,29.69423767,273.5412197,379.7362935
April,240,60552.76,4950.063333,12,6,7,463.07,26.54875929,289.201504,374.0760093
May,240,60552.76,4950.063333,12,1,,463.07,34.12312979,10000,10.30550807
June,240,60552.76,4950.063333,12,1,,463.07,34.70874749,293.0733953,380.204118
January,241,44386.47,3703.8725,26,19,2,1275.46,22.64993836,10000,144.3468441
February,241,44386.47,3703.8725,26,14,2,1275.46,32.32109564,258.5356788,103.003041
March,241,44386.47,3703.8725,26,14,2,1275.46,28.41099473,82.56602451,238.9726952
April,241,44386.47,3703.8725,26,14,2,1275.46,25.5379885,50.62028685,270.9184329
May,241,44386.47,3703.8725,26,11,2,1275.46,30.96734309,66.29354235,265.2451774
June,241,44386.47,3703.8725,26,14,2,1275.46,36.54784801,310.9639556,50.57476411
January,242,9141.63,797.8025,33,14,,2506.45,25.14818676,39.74367894,292.2354423
February,242,9141.63,797.8025,33,18,,2506.45,36.5002154,79.52909992,252.4500213
March,242,9141.63,797.8025,33,9,11,2506.45,39.26664402,63.80546382,278.1736574
April,242,9141.63,797.8025,33,9,10,2506.45,39.73527479,49.07677972,262.9023415
May,242,9141.63,797.8025,33,9,9,2506.45,27.13175877,102.513896,239.4652253
June,242,9141.63,797.8025,33,9,12,2506.45,38.66760672,27.20533544,294.7737858
January,243,11245.11,797.8025,11,9,11,169.86,27.75373398,106.7068941,290.6023559
February,243,11245.11,1173.0925,11,9,10,169.86,32.59786258,74.58314321,322.7261068
March,243,11245.11,1173.0925,11,9,,169.86,26.46780079,38.8815547,348.4276953
April,243,11245.11,1173.0925,11,6,,169.86,34.10451683,80.76257672,316.5466733
May,243,11245.11,1173.0925,11,13,6,169.86,31.04719514,59.23601898,338.073231
June,243,11245.11,1173.0925,11,13,0,169.86,28.76915781,0,330.2941218
January,244,98197.74,8005.145,6,13,3,627.5,33.11569136,102.9413811,799.0311421
February,244,98197.74,8005.145,6,17,0,627.5,40.8195687,223.1167183,708.8558048
March,244,98197.74,8005.145,6,13,3,627.5,33.959539,55.0244348,846.9480883
April,244,98197.74,8005.145,6,13,3,627.5,37.0705625,308.9423191,613.030204
May,244,98197.74,8005.145,6,13,,627.5,29.04900226,10000,641.6016207
June,244,98197.74,8005.145,6,10,,627.5,39.15861056,94.62712637,807.3453967
January,245,30197.28,2594.44,14,17,0,811.08,35.86524097,227.2340379,265.1289244
February,245,30197.28,2594.44,14,19,16,811.08,33.57000089,203.1170324,289.2459299
March,245,30197.28,2594.44,14,19,15,811.08,30.89751936,32.02689485,420.3360674
April,245,30197.28,2594.44,14,19,18,811.08,41.15687417,108.5848361,343.7781262
May,245,30197.28,2594.44,14,21,14,811.08,32.70853881,10000,409.1322312
June,245,30197.28,2594.44,14,19,15,811.08,36.08342263,10000,377.3509344
January,246,31633.54,2930.128333,8,19,,846.45,25.48602333,200.9042,331.3401933
February,246,31633.54,2930.128333,8,19,,846.45,29.29859996,78.20804977,424.0363435
March,246,31633.54,2930.128333,8,26,20,846.45,26.31214177,216.6493583,295.595035
April,246,31633.54,2930.128333,8,27,20,846.45,39.26841,196.4863175,305.7580758
May,246,31633.54,2930.128333,8,26,22,846.45,29.31040825,159.6148516,372.6295417
June,246,31633.54,2930.128333,8,25,18,846.45,38.26046773,174.0000091,358.2443842
January,247,118172.64,9932.72,3,26,20,701.27,40.09320892,389.7660015,516.6377014
February,247,118172.64,9932.72,3,31,20,701.27,32.6998187,326.5767816,559.8269214
March,247,118172.64,9932.72,3,26,,701.27,34.36177609,475.7595019,440.6442011
April,247,118172.64,9932.72,3,26,,701.27,36.57764563,75.38542323,791.0182797
May,247,118172.64,9932.72,3,17,16,701.27,26.54589289,398.2364516,478.1672513
June,247,118172.64,9932.72,3,17,19,701.27,27.46685807,194.3837606,672.0199423
January,248,19623.18,1806.265,26,15,19,1369.54,31.93186622,159.7337128,291.1340594
February,248,19623.18,1806.265,26,17,19,1369.54,24.31216014,116.0962072,334.771565
March,248,19623.18,1806.265,26,17,0,1369.54,37.93478965,24.9633652,385.904407
April,248,19623.18,1806.265,26,17,19,1369.54,24.87441534,35.51862546,365.3491467
May,248,19623.18,1806.265,26,22,,1369.54,26.83457273,240.6802672,210.187505
June,248,19623.18,1806.265,26,17,,1369.54,26.60221265,19.08460556,381.7831666
January,249,63197.26,5042.438333,13,54,0,1435.94,23.49229303,599.8560026,45.91328725
February,249,63197.26,5042.438333,13,54,15,1435.94,34.17039855,272.2139749,343.555315
March,249,63197.26,5042.438333,13,51,0,1435.94,24.14153939,480.9895412,154.7797487
April,249,63197.26,5042.438333,13,54,15,1435.94,27.36330156,514.812291,130.9569989
May,249,63197.26,5042.438333,13,54,15,1435.94,27.1348592,88.91943271,516.8498572
June,249,63197.26,5042.438333,13,54,15,1435.94,34.1650074,0,505.8430258
January,250,10007.815,757.9845833,8,56,,2195.63,36.7091872,35.92782529,273.9196599
February,250,10007.815,757.9845833,8,56,,2195.63,24.12979148,23.09480989,266.7526754
March,250,10007.815,757.9845833,8,12,17,2195.63,31.84849417,40.39014789,259.4573374
April,250,10007.815,757.9845833,8,12,17,2195.63,28.10855089,0,255.7664482
May,250,10007.815,757.9845833,8,12,17,2195.63,25.26247583,53.19634625,236.651139
June,250,10007.815,757.9845833,8,14,17,2195.63,30.9704132,43.72257911,236.1249061
January,251,121688.04,10006.67,12,12,17,54.68,38.01558168,139.3412612,812.6602841
February,251,121688.04,10006.67,12,12,17,54.68,31.37490121,228.9476866,723.0538588
March,251,121688.04,10006.67,12,12,,54.68,36.9638366,75.12970315,876.8718422
April,251,121688.04,10006.67,12,12,,54.68,25.69460969,370.4092471,631.5922982
May,251,121688.04,10006.67,12,42,15,54.68,40.18842138,119.4309876,832.5705577
June,251,121688.04,10006.67,12,45,16,54.68,29.73715836,480.0224306,491.9791147
January,252,31069.32,2361.11,12,42,16,343.6,36.40319142,139.0871475,342.855248
February,252,31069.32,2361.11,12,44,16,343.6,32.99867955,190.5748496,301.367546
March,252,31069.32,2361.11,12,41,16,343.6,37.58608937,64.64985253,397.292543
April,252,31069.32,2361.11,12,39,15,343.6,30.2439151,65.3958207,386.5465748
May,252,31069.32,2361.11,12,42,,343.6,38.81479471,34.74442449,417.1979711
June,252,31069.32,2361.11,12,42,,343.6,30.45952122,139.5329775,322.409418
January,253,72241.02,5751.085,4,42,20,843.44,34.19870136,10000,536.4628937
February,253,72241.02,5751.085,4,40,21,843.44,34.2383986,215.9806967,579.319475
March,253,72241.02,5751.085,4,42,21,843.44,39.703629,443.9981018,381.30207
April,253,72241.02,5751.085,4,42,20,843.44,37.308949,580.8438848,244.4562869
May,253,72241.02,5751.085,4,42,21,843.44,35.39100785,79.92770138,695.3724704
June,253,72241.02,5751.085,4,42,0,843.44,40.61734285,286.9511577,508.349014
January,254,7612.725,928.39375,16,42,,1514.74,25.61720755,65.42688294,289.8896694
February,254,7612.725,928.39375,16,42,,1514.74,23.05740299,29.43037932,285.8861731
March,254,7612.725,928.39375,16,46,24,1514.74,28.44995337,33.26399182,322.0525606
April,254,7612.725,928.39375,16,46,24,1514.74,36.18465799,99.6797675,255.6367849
May,254,7612.725,928.39375,16,49,24,1514.74,23.41415974,24.41633266,320.9002197
June,254,7612.725,928.39375,16,46,24,1514.74,27.01520189,72.79179303,272.5247594
January,255,16953.985,1684.832083,4,46,27,554.48,27.45418512,132.9254588,307.2717403
February,255,16953.985,1684.832083,4,46,24,554.48,27.2324528,53.31064238,346.8865568
March,255,16953.985,1684.832083,4,46,,554.48,28.23646894,118.1474319,302.0497672
April,255,16953.985,1684.832083,4,47,,554.48,37.62032239,155.7776626,274.4195365
May,255,16953.985,1684.832083,4,14,7,554.48,26.23360929,39.5123144,360.6848847
June,255,16953.985,1684.832083,4,14,9,554.48,28.39016805,213.1422738,227.0549254
January,256,125508.36,10559.03,5,19,7,505.14,29.3709951,905.9374723,124.6626926
February,256,125508.36,10559.03,5,14,7,505.14,30.53679375,620.8051628,409.7950022
March,256,125508.36,10559.03,5,9,7,505.14,27.60966879,88.61589625,901.9842687
April,256,125508.36,10559.03,5,14,7,505.14,23.6169795,1209.865496,
May,256,125508.36,10559.03,5,10,,505.14,28.48314348,216.3960758,774.2040892
