Month,ID,Delay-from-due-date,Num-of-Delayed-Payment,Outstanding-Debt,Credit-Utilization-Ratio,Annual-Income,Debt-to-Income Ratio,Amount-invested-monthly,Monthly-Balance,Default
April,116,26,19,1250.67,30.59014317,147499.6,1%,1031.330809,495.2402241,1
May,116,26,22,1250.67,26.78468276,147499.6,1%,396.4144419,366.7335361,1
June,116,26,22,1250.67,25.76759328,147499.6,1%,960.8408779,474.0764973,1
January,117,1,2,1859.45,38.05357747,20005.22,9%,219.6562015,298.3325067,0
February,117,1,0,1859.45,32.77031221,20005.22,9%,166.333815,315.3578859,0
March,117,1,-1,1859.45,29.83677528,20005.22,9%,127.6645957,322.403143,0
April,117,1,0,1859.45,32.08626927,20005.22,9%,99.05570259,299.8695003,0
May,117,-1,0,1859.45,40.33681367,20005.22,9%,34.82607388,286.5937702,0
June,117,1,0,1859.45,31.04169773,20005.22,9%,33.73289502,282.0256825,0
January,118,1,0,3135.02,37.82075621,19795.52,16%,77.06641227,212.0680011,0
February,118,1,1,3135.02,26.82623712,19795.52,16%,174.7103102,294.6240512,0
March,118,12,15,3135.02,27.57515856,19795.52,16%,61.27863699,362.3360102,1
April,118,12,15,3135.02,36.64689472,19795.52,16%,76.75799675,154.5630235,1
May,118,17,11,3135.02,34.36590976,19795.52,16%,143.6098707,324.4694943,1
June,118,12,18,3135.02,28.86964153,19795.52,16%,104.3003302,227.5608594,1
January,119,12,17,3947.24,21.7448835,60938.13,6%,166.4876761,380.6406879,1
February,119,9,15,3947.24,24.10018317,60938.13,6%,10000,400.9617624,1
March,119,7,13,3947.24,25.8211221,60938.13,6%,570.8378294,268.3732185,1
April,119,11,15,3947.24,29.55800086,60938.13,6%,205.355955,300.2688288,1
May,119,5,9,3947.24,35.40968589,60938.13,6%,464.5784432,348.4970382,1
June,119,11,15,3947.24,30.93143532,60938.13,6%,118.582521,329.5413627,1
January,120,4,12,1357.54,34.92686537,80396.86,2%,266.0130452,341.2833306,1
February,120,8,12,1357.54,37.80897424,80396.86,2%,482.1142572,304.2965373,1
March,120,8,10,1357.54,38.45991946,80396.86,2%,159.9030718,386.8407909,1
April,120,5,10,1357.54,31.31834536,80396.86,2%,305.4240013,393.9367728,1
May,120,6,0,1357.54,29.0785458,80396.86,2%,,402.1525416,0
June,120,8,0,1357.54,26.53000279,80396.86,2%,422.5870729,387.8995676,0
January,121,17,18,4428.64,40.4575377,57610.32,8%,10000,1031.076261,1
February,121,10,16,4428.64,30.25440338,57610.32,8%,135.0449567,855.0526039,1
March,121,15,16,4428.64,31.6279151,57610.32,8%,146.147221,1145.991619,1
April,121,15,16,4428.64,37.0851965,57610.32,8%,36.03012555,534.0249425,1
May,121,15,18,4428.64,27.24640215,57610.32,8%,186.604381,815.3452475,1
June,121,19,16,4428.64,24.53738087,57610.32,8%,415.0140243,695.4775117,1
January,122,15,16,2103.99,32.72190461,18717.02,11%,172.2831653,938.0793958,1
February,122,15,16,2103.99,28.88914591,18717.02,11%,51.66822154,1005.282768,1
March,122,14,11,2103.99,30.04811835,18717.02,11%,,361.864196,1
April,122,14,0,2103.99,25.27099616,18717.02,11%,71.0085451,297.7972512,0
May,122,11,12,2103.99,27.19345256,18717.02,11%,39.90549924,313.4843169,1
June,122,14,0,2103.99,31.58328883,18717.02,11%,,244.4244696,0
January,123,14,8,2226.37,38.08096369,19163.22,12%,15.20673351,386.1784696,1
February,123,14,10,2226.37,35.68057374,19163.22,12%,165.7348717,266.4325189,1
March,123,14,9,2226.37,31.19125771,19163.22,12%,167.8781191,302.9918542,1
April,123,14,11,2226.37,26.14779838,19163.22,12%,35.39321437,258.4089896,1
May,123,22,18,2226.37,35.98159627,19163.22,12%,13.80248657,319.4724557,1
June,123,27,18,2226.37,36.34917939,19163.22,12%,81.72630033,193.763329,1
January,124,22,18,1487.9,27.61540225,94554.87,2%,626.30901,423.9864337,1
February,124,22,19,1487.9,30.87069771,94554.87,2%,300.3255397,419.6451987,1
March,124,22,18,1487.9,36.70593008,94554.87,2%,443.7484006,376.5848406,1
April,124,27,18,1487.9,32.9629716,94554.87,2%,409.4268586,436.1262427,1
May,124,22,16,1487.9,34.25162577,94554.87,2%,119.4020845,379.3008903,1
June,124,22,18,1487.9,41.30293329,94554.87,2%,10000,415.8783985,1
January,125,14,17,89.62,34.95044799,63536.98,0%,517.0200747,375.4778682,1
February,125,8,20,89.62,35.39597764,63536.98,0%,36.73241195,384.3765339,1
March,125,12,17,89.62,35.72994933,63536.98,0%,97.69166507,379.615739,1
April,125,12,17,89.62,37.01537952,63536.98,0%,528.334993,358.6953907,1
May,125,12,17,89.62,37.3898604,63536.98,0%,,342.665979,1
June,125,12,16,89.62,34.81149096,63536.98,0%,451.6381889,395.5520727,1
January,126,12,20,1823.35,36.98828769,9983.345,18%,,384.8384052,1
February,126,12,17,1823.35,29.50942274,9983.345,18%,18.18202077,393.3845202,1
March,126,33,18,1823.35,39.63775601,9983.345,18%,47.64921348,302.015654,1
April,126,33,18,1823.35,26.61197778,9983.345,18%,42.3798964,262.6460624,1
May,126,35,19,1823.35,30.27487769,9983.345,18%,0,220.0340071,1
June,126,33,17,1823.35,33.65902861,9983.345,18%,10000,266.8829238,1
January,127,36,19,1073.94,41.02732543,27796.42,4%,128.2161902,265.0553047,1
February,127,33,19,1073.94,30.38965549,27796.42,4%,130.0996114,284.3071299,1
March,127,33,19,1073.94,37.15621874,27796.42,4%,75.71790454,259.4761738,1
April,127,33,21,1073.94,24.05756073,27796.42,4%,84.99894038,304.5542285,1
May,127,26,15,1073.94,40.35044711,27796.42,4%,200.6710898,405.842134,1
June,127,23,15,1073.94,22.20576058,27796.42,4%,302.0617222,473.0723916,1
January,128,22,17,89.68,33.45134938,132872.72,0%,353.122864,422.6510748,1
February,128,23,15,89.68,42.39788392,132872.72,0%,475.9167981,0,1
March,128,23,17,89.68,41.34188581,132872.72,0%,258.8751188,267.8198654,1
April,128,23,0,89.68,29.35715298,132872.72,0%,913.1710383,513.5324196,0
May,128,23,15,89.68,27.62293379,132872.72,0%,514.0429431,500.6954389,1
June,128,23,15,89.68,40.08150518,132872.72,0%,223.3183671,423.9815769,1
January,129,9,2,1151.7,34.92454851,140014.36,1%,423.6241662,319.8823432,0
February,129,13,2,1151.7,33.12940702,140014.36,1%,377.0611543,161.6108884,0
March,129,18,2,1151.7,25.05169905,140014.36,1%,843.1987396,485.3073541,0
April,129,13,1,1151.7,33.49290201,140014.36,1%,,384.1566324,0
May,129,13,0,1151.7,37.3982318,140014.36,1%,364.0138411,190.0898019,0
June,129,13,5,1151.7,26.57131271,140014.36,1%,388.0007706,401.5681952,0
January,130,13,2,869.99,34.98833625,37071.2,2%,386.8995613,492.3270247,0
February,130,11,2,869.99,34.97119016,37071.2,2%,68.25104822,214.9034199,0
March,130,6,13,869.99,28.31939476,37071.2,2%,142.8943811,738.2518345,1
April,130,10,15,869.99,39.63081461,37071.2,2%,276.8189914,775.4860371,1
May,130,5,13,869.99,30.6853671,37071.2,2%,57.42272997,0,1
June,130,5,13,869.99,32.25082082,37071.2,2%,68.03216109,72.87980133,1
January,131,5,16,1480.92,32.50328427,41735.55,4%,98.89486393,579.1755923,1
February,131,4,13,1480.92,25.48749105,41735.55,4%,60.16086359,275.2791228,1
March,131,1,13,1480.92,22.07844595,41735.55,4%,10000,0,1
April,131,3,12,1480.92,34.23860845,41735.55,4%,387.4665448,479.8240344,1
May,131,14,20,1480.92,35.28428516,41735.55,4%,10000,612.9678757,1
June,131,13,19,1480.92,34.51094824,41735.55,4%,87.83142994,162.0697133,1
January,132,14,21,1950.62,38.3957798,40391.66,5%,270.6282467,804.914802,1
February,132,14,0,1950.62,30.76603966,40391.66,5%,89.65122047,778.6118203,0
March,132,14,20,1950.62,34.54141617,40391.66,5%,313.4191447,736.8553868,1
April,132,14,20,1950.62,23.34722076,40391.66,5%,253.0619063,808.7443366,1
May,132,13,20,1950.62,25.19202672,40391.66,5%,34.14143378,565.0150301,1
June,132,14,20,1950.62,31.13055404,40391.66,5%,189.4868251,25.29240814,1
January,133,20,20,2569.3,30.21890538,7441.295,35%,96.30724364,188.7871183,1
February,133,24,20,2569.3,36.05020819,7441.295,35%,94.21915196,264.6675629,1
March,133,24,21,2569.3,23.21011461,7441.295,35%,42.12400278,228.523929,1
April,133,24,20,2569.3,35.34160912,7441.295,35%,38.81360837,183.7326333,1
May,133,24,0,2569.3,27.06896868,7441.295,35%,56.93823725,172.3914957,0
June,133,24,0,2569.3,29.12876324,7441.295,35%,55.39678502,211.4745272,0
January,134,24,23,2008.06,29.44953194,19065.32,11%,63.52147977,208.3180592,1
February,134,26,20,2008.06,29.75799884,19065.32,11%,20.9689828,245.7618429,1
March,134,11,17,2008.06,35.93733555,19065.32,11%,32.88341822,712.3229995,1
April,134,12,18,2008.06,39.0721852,19065.32,11%,107.4232711,750.8260452,1
May,134,7,17,2008.06,30.09094621,19065.32,11%,166.2444409,579.1064422,1
June,134,12,17,2008.06,29.54374905,19065.32,11%,54.20504868,694.3432508,1
January,135,12,14,195.38,30.63404463,24585.55,1%,43.26624308,771.5941452,1
February,135,12,14,195.38,35.07876591,24585.55,1%,139.0459843,720.2434995,1
March,135,12,17,195.38,37.73274571,24585.55,1%,58.81931338,467.23346,1
April,135,17,834,195.38,37.75461207,24585.55,1%,50.46839601,286.5442472,1
May,135,26,19,195.38,27.45654797,24585.55,1%,50.95979278,417.0530291,1
June,135,26,19,195.38,35.7593548,24585.55,1%,109.38613,335.9725019,1
January,136,26,21,1403.17,31.79668961,15013.73,9%,75.20945229,949.50237,1
February,136,26,22,1403.17,26.9483472,15013.73,9%,138.0087413,641.2268614,1
March,136,26,21,1403.17,25.55029323,15013.73,9%,38.98803587,833.300136,1
April,136,26,19,1403.17,27.42627956,15013.73,9%,129.5271333,513.89465,1
May,136,26,19,1403.17,32.67643149,15013.73,9%,151.225327,581.9365201,1
June,136,29,20,1403.17,36.28518212,15013.73,9%,,893.2396069,1
January,137,16,19,385.8,22.98972216,126006.68,0%,1069.38991,365.8657996,1
February,137,16,19,385.8,29.54094702,126006.68,0%,718.6753577,0,1
March,137,16,19,385.8,30.68741311,126006.68,0%,264.1068678,438.8563539,1
April,137,16,19,385.8,28.67155267,126006.68,0%,1082.820731,500.4725404,1
May,137,16,20,385.8,34.86719994,126006.68,0%,408.2953699,358.1962805,1
June,137,16,19,385.8,27.89543048,126006.68,0%,248.7005808,382.3873781,1
January,138,14,19,605.34,22.39367942,102885.32,1%,857.7632224,460.4672466,1
February,138,16,19,605.34,30.83825551,102885.32,1%,142.0658008,387.4070242,1
March,138,14,10,605.34,28.40696052,102885.32,1%,298.1439608,184.6023182,1
April,138,16,10,605.34,35.61185297,102885.32,1%,547.8315332,323.5594845,1
May,138,16,13,605.34,27.65699989,102885.32,1%,495.6310264,378.5458029,1
June,138,16,11,605.34,37.26393252,102885.32,1%,215.6344577,405.3360591,1
January,139,16,10,512.38,29.74634663,34212.01,1%,270.2397718,288.7115597,1
February,139,16,10,512.38,28.44296251,34212.01,1%,380.9233337,377.2865525,1
March,139,16,12,512.38,37.57055171,34212.01,1%,205.3957988,291.7291401,1
April,139,16,10,512.38,31.85203897,34212.01,1%,150.7068026,349.8005414,1
May,139,51,26,512.38,32.64457795,34212.01,1%,26.2700848,243.0942731,1
June,139,46,23,512.38,28.43167429,34212.01,1%,236.8755134,262.4520007,1
January,140,46,20,140.26,33.66718198,118487.16,0%,354.2155581,370.5011731,1
February,140,46,23,140.26,36.90906559,118487.16,0%,361.4271888,348.8054746,1
March,140,46,24,140.26,42.19925093,118487.16,0%,10000,363.9619102,1
April,140,46,23,140.26,36.72347393,118487.16,0%,359.2148112,420.4860817,1
May,140,44,23,140.26,30.1391876,118487.16,0%,10000,355.023023,1
June,140,44,23,140.26,35.48599081,118487.16,0%,683.3484299,205.1353372,1
January,141,34,22,3962.08,38.23495907,77418.52,5%,144.9603486,390.7639425,1
February,141,34,22,3962.08,34.76165175,77418.52,5%,212.3977646,225.1714383,1
March,141,34,22,3962.08,31.32632678,77418.52,5%,398.4666506,361.6526009,1
April,141,34,22,3962.08,29.66000321,77418.52,5%,260.7781408,374.5170294,1
May,141,31,20,3962.08,34.9494044,77418.52,5%,135.7398457,413.3680084,1
June,141,34,22,3962.08,23.11099851,77418.52,5%,78.03120583,327.0650688,1
January,142,34,23,784.35,36.68708626,24199.24,3%,22.73334864,424.0278928,1
February,142,34,22,784.35,34.00487515,24199.24,3%,36.25883985,402.543786,1
March,142,17,9,784.35,32.68423992,24199.24,3%,57.54456034,673.7274393,1
April,142,19,8,784.35,29.9128427,24199.24,3%,89.24234197,774.3555733,1
May,142,15,9,784.35,34.76654025,24199.24,3%,10000,724.4744463,1
June,142,17,11,784.35,29.91285816,24199.24,3%,42.2534408,607.6833621,1
January,143,17,12,1496.38,32.11737767,28587.29,5%,185.9603642,585.8747144,1
February,143,17,9,1496.38,27.75209038,28587.29,5%,129.737134,716.2602091,1
March,143,17,10,1496.38,30.01478966,28587.29,5%,135.7092806,717.0914534,1
April,143,20,12,1496.38,34.26125934,28587.29,5%,88.74306479,664.8817952,1
May,143,13,9,1496.38,36.65870652,28587.29,5%,210.6243801,349.1520196,1
June,143,13,11,1496.38,28.71481315,28587.29,5%,84.66215367,315.3317585,1
January,144,11,9,1054.86,34.12223746,16578.115,6%,25.85641455,248.5613732,1
February,144,13,0,1054.86,35.67735785,16578.115,6%,58.17679932,244.2910915,0
March,144,12,9,1054.86,35.73134519,16578.115,6%,28.29133226,251.4219299,1
April,144,13,9,1054.86,38.49923983,16578.115,6%,54.14674132,329.7208514,1
May,144,13,9,1054.86,23.6956535,16578.115,6%,120.4907632,348.2213392,1
June,144,13,10,1054.86,29.04880468,16578.115,6%,53.91212946,226.4592697,1
January,145,28,20,4167.43,26.0383526,74647.4,6%,142.361499,325.6435231,1
February,145,28,20,4167.43,32.84289151,74647.4,6%,59.45679,306.4597033,1
March,145,28,20,4167.43,31.65975843,74647.4,6%,161.5712331,458.9158609,1
April,145,28,21,4167.43,35.71557292,74647.4,6%,141.2712372,377.88681,1
May,145,28,20,4167.43,31.68085601,74647.4,6%,553.8526995,335.4344814,1
June,145,23,18,4167.43,38.34225381,74647.4,6%,158.3173101,346.0727832,1
January,146,28,19,1374.23,32.0262087,34766.06,4%,339.1781648,193.4781587,1
February,146,31,20,1374.23,28.66007022,34766.06,4%,10000,446.7819896,1
March,146,23,9,1374.23,35.56142106,34766.06,4%,182.6155519,307.528475,1
April,146,25,10,1374.23,33.29576662,34766.06,4%,139.5136038,324.4985931,1
May,146,25,11,1374.23,26.77336524,34766.06,4%,59.75858627,351.383946,1
June,146,25,0,1374.23,32.74411423,34766.06,4%,72.89949541,320.0425657,0
January,147,21,14,775.22,34.05590813,16852.635,5%,136.2137084,263.1471434,1
February,147,23,11,775.22,39.50487104,16852.635,5%,69.04340589,348.9046657,1
March,147,25,11,775.22,32.78745821,16852.635,5%,114.6230507,255.9890249,1
April,147,27,8,775.22,28.01965469,16852.635,5%,26.8701924,237.0672904,1
May,147,19,3,775.22,26.53290254,16852.635,5%,39.60976624,357.4905567,0
June,147,19,0,775.22,27.96080591,16852.635,5%,61.1265106,354.4911228,0
January,148,19,3,2362.68,33.84241128,33502.1,7%,186.6985264,368.6120162,0
February,148,24,3,2362.68,32.80233908,33502.1,7%,191.2771121,240.6052809,0
March,148,22,3,2362.68,33.19100843,33502.1,7%,335.337723,298.4092616,0
April,148,19,0,2362.68,32.98116761,33502.1,7%,72.56920724,363.640576,0
May,148,16,0,2362.68,24.18776124,33502.1,7%,123.5680549,245.5615342,0
June,148,19,3,2362.68,32.82688726,33502.1,7%,45.48514242,358.3881792,0
January,149,10,5,1295.18,27.35397853,91690.53,1%,254.8699601,281.9170057,0
February,149,9,6,1295.18,38.01529334,91690.53,1%,156.0510657,364.0520998,1
March,149,9,8,1295.18,35.36268416,91690.53,1%,217.3947251,339.6757931,1
April,149,13,3,1295.18,26.19820232,91690.53,1%,545.4780277,341.2639172,0
May,149,9,6,1295.18,38.66431766,91690.53,1%,371.4258097,291.29505,1
June,149,9,6,1295.18,37.6942541,91690.53,1%,289.4477866,386.763284,1
January,150,9,6,1672.68,37.25100052,30502.54,5%,43.83991212,358.5853514,1
February,150,9,6,1672.68,34.87312303,30502.54,5%,168.0204875,318.1993871,1
March,150,7,3,1672.68,27.97107605,30502.54,5%,216.1796301,187.9342805,0
April,150,7,0,1672.68,32.0878068,30502.54,5%,,465.972022,0
May,150,7,0,1672.68,37.50922877,30502.54,5%,106.5824454,506.7576753,0
June,150,12,0,1672.68,34.62966312,30502.54,5%,20.99723703,323.1918538,0
January,151,7,0,180.94,35.62726893,30272.61,1%,128.3534494,539.099295,0
February,151,2,0,180.94,36.36723057,30272.61,1%,156.7351886,500.5336458,0
March,151,9,0,180.94,24.92422156,30272.61,1%,145.7232424,319.6634399,0
April,151,7,0,180.94,38.13742934,30272.61,1%,128.6410776,494.4555416,0
May,151,31,17,180.94,26.15751353,30272.61,1%,124.7341359,315.8316405,1
June,151,31,17,180.94,31.78766414,30272.61,1%,162.7897104,409.5944508,1
January,152,31,17,203.03,39.58066955,59971.42,0%,217.6930633,120.9350195,1
February,152,31,17,203.03,32.60829425,59971.42,0%,398.1844951,291.1212247,1
March,152,36,17,203.03,27.43864956,59971.42,0%,108.9602477,373.7478955,1
April,152,31,17,203.03,36.61509401,59971.42,0%,81.93143455,443.7913999,1
May,152,29,19,203.03,30.37106369,59971.42,0%,171.767829,436.1193178,1
June,152,31,17,203.03,37.97601468,59971.42,0%,63.43139147,114.7645422,1
January,153,19,7,257.81,25.56459705,42220.39,1%,93.31106009,353.3703981,1
February,153,19,8,257.81,26.87244765,42220.39,1%,219.4359664,374.3391032,1
March,153,19,8,257.81,28.6426246,42220.39,1%,331.3087925,413.457968,1
April,153,19,8,257.81,29.92048346,42220.39,1%,166.2878549,349.9116979,1
May,153,19,8,257.81,33.1033798,42220.39,1%,138.822868,354.5148948,1
June,153,19,8,257.81,32.08385288,42220.39,1%,181.2826135,352.5875561,1
January,154,19,10,900.83,37.27591161,43581.13,2%,120.203879,366.6393791,1
February,154,19,8,900.83,25.00899806,43581.13,2%,451.5403574,262.1109593,1
March,154,14,3,900.83,40.95969613,43581.13,2%,39.53457993,1041.077483,0
April,154,14,3,900.83,25.61272993,43581.13,2%,57.05960796,685.0242473,0
May,154,12,6,900.83,34.13471492,43581.13,2%,79.46497696,859.970369,1
June,154,14,3,900.83,38.11566497,43581.13,2%,182.6181577,291.8260413,0
January,155,9,0,467.64,26.21133323,28681.38,2%,189.688518,926.7424081,0
February,155,15,3,467.64,38.11375608,28681.38,2%,57.84732471,362.3159722,0
March,155,14,0,467.64,25.39354008,28681.38,2%,183.9762249,507.9151641,0
April,155,14,2,467.64,23.48687745,28681.38,2%,,447.9251564,0
May,155,22,20,467.64,23.91529125,28681.38,2%,177.0887087,179.1407511,1
June,155,22,22,467.64,27.80797513,28681.38,2%,42.14609888,222.4631375,1
January,156,25,23,1166.47,34.78417245,35376.32,3%,57.83548953,261.1323568,1
February,156,22,20,1166.47,39.99222456,35376.32,3%,61.4909092,279.7412499,1
March,156,17,20,1166.47,28.44892451,35376.32,3%,317.5063563,333.9708787,1
April,156,22,20,1166.47,31.42112705,35376.32,3%,10000,325.0640575,1
May,156,23,21,1166.47,30.24080727,35376.32,3%,126.1543147,307.2506969,1
June,156,22,20,1166.47,35.67602081,35376.32,3%,59.79900184,222.3513795,1
January,157,15,21,1287.59,27.65170151,15488.885,8%,10000,248.7207837,1
February,157,15,22,1287.59,22.63546187,15488.885,8%,29.44719579,151.0768857,1
March,157,15,21,1287.59,28.2454871,15488.885,8%,155.2232445,224.508559,1
April,157,15,18,1287.59,27.80802651,15488.885,8%,73.24941749,229.0291992,1
May,157,15,21,1287.59,31.10834678,15488.885,8%,144.922638,162.1773252,1
June,157,15,21,1287.59,30.80107913,15560525,0%,97.70545172,191.4868658,1
January,158,15,21,816.46,33.82929719,19853.35,4%,10000,185.1771658,1
February,158,14,21,816.46,35.28021683,19853.35,4%,22.03026347,149.7135589,1
March,158,24,18,816.46,38.35929016,19853.35,4%,62.06471233,231.5254005,1
April,158,23,18,816.46,33.43584261,19853.35,4%,123.7961781,0,1
May,158,26,17,816.46,28.15432154,19853.35,4%,84.41866077,0,1
June,158,26,18,816.46,38.77875139,19853.35,4%,104.2653578,192.6571217,1
January,159,26,21,951.36,27.56800421,115643.01,1%,414.0255925,0,1
February,159,26,18,951.36,30.64862041,115643.01,1%,670.2124917,259.4305556,1
March,159,26,18,951.36,33.02244357,115643.01,1%,102.0319785,0,1
April,159,26,21,951.36,23.40766359,115643.01,1%,868.4215954,269.7162744,1
May,159,8,11,951.36,41.09080181,115643.01,1%,133.5556741,646.3607881,1
June,159,8,11,951.36,30.2873135,115643.01,1%,644.4721303,450.2595761,1
January,160,8,13,540.07,27.51300973,7512.225,7%,32.37729898,752.4707615,1
February,160,8,10,540.07,23.90991208,7512.225,7%,63.02139644,646.949832,1
March,160,7,0,540.07,33.85302645,7512.225,7%,53.16535684,724.5586823,0
April,160,8,11,540.07,29.15999445,7512.225,7%,42.59795497,519.7867604,1
May,160,8,11,540.07,26.06325537,7512.225,7%,10.13191094,691.3974047,1
June,160,8,11,540.07,30.79841422,7512.225,7%,25.80361934,277.3427068,1
January,161,41,23,4445.32,31.0425119,35161.46,13%,123.585426,53.7543837,1
February,161,41,23,4445.32,29.46906222,35161.46,13%,82.98997859,310.506864,1
March,161,41,0,4445.32,29.68532244,35161.46,13%,204.8329297,299.4045998,1
April,161,41,23,4445.32,33.15011988,35161.46,13%,78.34093426,399.5216952,1
May,161,41,23,4445.32,28.41173359,35161.46,13%,37.42498443,278.9474397,1
June,161,41,23,4445.32,27.11896522,35161.46,13%,19.01948976,60.5377965,1
January,162,44,0,3035.88,41.34692749,9133.045,33%,26.30815984,377.4962142,1
February,162,41,23,3035.88,37.47715843,9133.045,33%,60.06650759,324.7992604,1
March,162,14,20,3035.88,37.62121972,9133.045,33%,42.1771251,186.5450081,1
April,162,9,19,3035.88,32.01028671,9133.045,33%,46.48832383,307.1599518,1
May,162,9,17,3035.88,31.19875966,9133.045,33%,35.77146298,275.1046939,1
June,162,11,18,3035.88,36.66944085,9133.045,33%,48.45451194,257.8196283,1
January,163,9,19,4404.48,26.51448318,19283.47,23%,87.58752722,278.9226741,1
February,163,9,16,4404.48,40.44311542,19283.47,23%,43.34465042,274.9008231,1
March,163,7,18,4404.48,24.73345048,19283.47,23%,10000,276.4344622,1
April,163,4,18,4404.48,36.81321436,19283.47,23%,118.9762629,292.1077242,1
May,163,23,18,4404.48,24.26782583,19283.47,23%,45.36876137,345.3111188,1
June,163,23,19,4404.48,38.01777594,19283.47,23%,25.49382195,234.7829806,1
January,164,21,18,276.91,40.27395345,66502.76,0%,82.10389005,232.6397333,1
February,164,18,19,276.91,25.85623159,66502.76,0%,131.0999091,325.124638,1
March,164,25,18,276.91,33.4594584,66502.76,0%,70.98632216,336.7153658,1
April,164,18,18,276.91,31.26324999,66502.76,0%,97.47015739,288.791552,1
May,164,23,19,276.91,23.33091259,66502.76,0%,374.667545,302.2441735,1
June,164,23,22,276.91,35.76220154,66502.76,0%,211.1375988,224.8580329,1
January,165,9,0,1701.58,38.48831078,9444.795,18%,92.59222789,455.14824,0
February,165,9,0,1701.58,35.18216454,9444.795,18%,28.49645707,761.1317103,0
March,165,9,1,1701.58,35.76303907,9444.795,18%,10000,607.7088494,0
April,165,9,0,1701.58,30.66682464,9444.795,18%,71.40615723,662.0303914,0
May,165,9,0,1701.58,33.20798895,9444.795,18%,83.43984726,922.0551655,0
June,165,4,0,1701.58,36.85162288,9444.795,18%,20.14142612,946.5394343,0
January,166,9,1,877.06,36.97651581,70112.78,1%,433.1852678,729.4228858,0
February,166,9,0,877.06,27.43320195,70112.78,1%,469.3210996,821.3452523,0
March,166,29,14,877.06,29.76451184,70112.78,1%,545.8562339,242.1539061,1
April,166,33,0,877.06,35.54211365,70112.78,1%,541.2524164,672.4415688,1
May,166,26,16,877.06,35.44189502,70112.78,1%,94.87331908,611.4823157,1
June,166,29,15,877.06,33.51310192,70112.78,1%,,230.8389878,1
January,167,29,13,2686.18,37.27594078,15604.56,17%,93.21312485,440.9182314,1
February,167,29,16,2686.18,31.09297235,15604.56,17%,65.8787918,287.5357919,1
March,167,29,16,2686.18,27.39811578,15604.56,17%,56.0390886,568.1351103,1
April,167,29,16,2686.18,37.98187464,15604.56,17%,169.0607979,529.4183765,1
May,167,22,16,2686.18,37.20855788,15604.56,17%,62.34275238,261.6554806,1
June,167,22,16,2686.18,38.61447028,15604.56,17%,25.9869617,278.4710022,1
January,168,22,16,457.81,23.06996228,68935.26,1%,208.5060891,279.0038095,1
February,168,22,16,457.81,34.69013759,68935.26,1%,10000,264.2731266,1
March,168,22,0,457.81,37.45209398,68935.26,1%,739.7896616,277.7414585,0
April,168,27,16,457.81,27.6047595,68935.26,1%,215.0382826,288.3958605,1
May,168,22,16,457.81,36.53246992,68935.26,1%,371.8341314,285.6934611,1
June,168,22,16,457.81,36.50307552,68935.26,1%,162.8164817,276.0401151,1
January,169,18,14,611.04,24.10101884,31807,2%,195.2840071,325.7530119,1
February,169,18,14,611.04,29.95563613,31807,2%,59.79390725,333.8695906,1
March,169,20,13,611.04,23.41143447,31807,2%,10000,368.2512975,1
April,169,18,16,611.04,27.06705363,31807,2%,32.15559293,358.9702617,1
May,169,18,11,611.04,33.56369078,31807,2%,159.3500743,263.2981122,1
June,169,20,14,611.04,25.15308482,31807,2%,104.8348455,181.9074799,1
January,170,18,15,1409.58,36.61446866,10025.2,14%,141.3578697,399.40178,1
February,170,18,11,1409.58,37.44166625,10025.2,14%,10000,387.6013154,1
March,170,11,7,1409.58,28.82956825,10025.2,14%,83.79413236,882.4191203,1
April,170,14,6,1409.58,36.18180914,10025.2,14%,65.98234303,779.6251862,1
May,170,14,5,1409.58,30.80777958,10025.2,14%,,956.6668655,0
June,170,14,7,1409.58,37.5870229,10025.2,14%,10000,352.370946,1
January,171,11,8,1635.19,37.2691958,64036.88,3%,475.3623658,731.4990412,1
February,171,14,0,1635.19,30.4775069,64036.88,3%,307.9415911,992.2236172,0
March,171,14,4,1635.19,39.58268408,64036.88,3%,93.11963409,326.8184636,0
April,171,14,5,1635.19,32.85935458,64036.88,3%,297.9761044,1042.031182,0
May,171,23,8,1635.19,34.17436022,64036.88,3%,408.9846947,644.0417706,1
June,171,27,10,1635.19,37.68110354,64036.88,3%,,690.6047825,1
January,172,27,10,1684.06,32.48217556,9783.245,17%,94.75302405,254.4671973,1
February,172,27,10,1684.06,35.81234018,9783.245,17%,87.82352528,779.5739541,1
March,172,27,12,1684.06,36.56831665,9783.245,17%,34.54547793,713.6520957,1
April,172,27,10,1684.06,36.00260723,9783.245,17%,80.78357717,679.6651663,1
May,172,27,9,1684.06,39.30674058,9783.245,17%,31.69155149,525.3350914,1
June,172,27,9,1684.06,33.39004369,9783.245,17%,120.5055564,823.0863932,1
January,173,17,2672,455.22,39.76005144,86522.72,1%,95.86465456,129.0368339,1
February,173,14,5,455.22,29.33748968,86522.72,1%,139.8368013,397.6853471,0
March,173,14,5,455.22,35.72838676,86522.72,1%,297.1751329,353.0420142,0
April,173,14,3,455.22,31.59459157,86522.72,1%,322.233403,239.1174038,0
May,173,14,5,455.22,29.96454401,86522.72,1%,182.1269494,408.5136653,0
June,173,14,5,455.22,41.34223418,86522.72,1%,179.7084198,397.9042342,0
January,174,14,5,923.85,32.05791074,124419.66,1%,338.6474398,355.9441461,0
February,174,14,8,923.85,25.89328065,124419.66,1%,153.5073452,432.3340116,1
